data_pedido,cliente_id,produto,quantidade,valor_unitario,valor_total,temperatura_media
2025-01-01,146,Caixa Açaí Tradição 10L,88,120.0,10560.0,22.6
2025-01-01,110,Caixa de Sorvete de Chocolate Belga 10L,28,110.0,3080.0,22.6
2025-01-01,128,Creme de Cupuaçu 5L,48,70.0,3360.0,22.6
2025-01-01,105,Base Milkshake Morango 10L,76,90.0,6840.0,22.6
2025-01-01,128,Caixa de sorvete de Creme 10L,80,110.0,8800.0,22.6
2025-01-01,118,Base Milkshake Chocolate 10L,45,95.0,4275.0,22.6
2025-01-01,118,Caixa de sorvete de Creme 10L,77,110.0,8470.0,22.6
2025-01-02,109,Base Milkshake Chocolate 10L,54,95.0,5130.0,24.3
2025-01-02,132,Base Milkshake Morango 10L,39,90.0,3510.0,24.3
2025-01-02,119,Base Milkshake Baunilha 10L,63,90.0,5670.0,24.3
2025-01-02,109,Base Milkshake Baunilha 10L,81,90.0,7290.0,24.3
2025-01-02,127,Caixa de Sorvete de Chocolate Belga 10L,48,110.0,5280.0,24.3
2025-01-02,147,Base Milkshake Morango 10L,36,90.0,3240.0,24.3
2025-01-02,117,Caixa de sorvete de Creme 10L,37,110.0,4070.0,24.3
2025-01-02,136,Creme de Cupuaçu 5L,52,70.0,3640.0,24.3
2025-01-03,127,Base Milkshake Morango 10L,62,90.0,5580.0,23.5
2025-01-03,150,Caixa de Sorvete de Morango 10L,99,110.0,10890.0,23.5
2025-01-03,126,Creme de Cupuaçu 5L,61,70.0,4270.0,23.5
2025-01-03,101,Caixa de Sorvete de Morango 10L,43,110.0,4730.0,23.5
2025-01-03,134,Base Milkshake Baunilha 10L,45,90.0,4050.0,23.5
2025-01-03,117,Creme de Cupuaçu 5L,25,70.0,1750.0,23.5
2025-01-04,150,Caixa de sorvete de Creme 10L,48,110.0,5280.0,23.1
2025-01-04,123,Caixa Açaí 5L,54,65.0,3510.0,23.1
2025-01-04,125,Creme de Cupuaçu 5L,62,70.0,4340.0,23.1
2025-01-04,126,Caixa de sorvete de Creme 10L,116,110.0,12760.0,23.1
2025-01-04,134,Base Milkshake Morango 10L,12,90.0,1080.0,23.1
2025-01-05,124,Base Milkshake Baunilha 10L,65,90.0,5850.0,22.6
2025-01-05,105,Creme de Cupuaçu 5L,63,70.0,4410.0,22.6
2025-01-05,112,Caixa de Sorvete de Chocolate Belga 10L,62,110.0,6820.0,22.6
2025-01-05,112,Caixa de Sorvete de Chocolate Belga 10L,74,110.0,8140.0,22.6
2025-01-05,134,Creme de Cupuaçu 5L,47,70.0,3290.0,22.6
2025-01-05,127,Base Milkshake Baunilha 10L,59,90.0,5310.0,22.6
2025-01-06,139,Creme de Cupuaçu 5L,54,70.0,3780.0,22.9
2025-01-06,136,Base Milkshake Chocolate 10L,29,95.0,2755.0,22.9
2025-01-06,137,Base Milkshake Morango 10L,67,90.0,6030.0,22.9
2025-01-06,122,Caixa Açaí 5L,95,65.0,6175.0,22.9
2025-01-06,126,Caixa de Sorvete de Morango 10L,34,110.0,3740.0,22.9
2025-01-06,138,Caixa de Sorvete de Morango 10L,110,110.0,12100.0,22.9
2025-01-06,136,Base Milkshake Morango 10L,57,90.0,5130.0,22.9
2025-01-06,114,Base Milkshake Morango 10L,72,90.0,6480.0,22.9
2025-01-06,138,Base Milkshake Baunilha 10L,96,90.0,8640.0,22.9
2025-01-07,106,Base Milkshake Chocolate 10L,9,95.0,855.0,21.6
2025-01-07,146,Caixa Açaí Tradição 10L,66,120.0,7920.0,21.6
2025-01-07,104,Creme de Cupuaçu 5L,46,70.0,3220.0,21.6
2025-01-07,146,Caixa Açaí Tradição 10L,20,120.0,2400.0,21.6
2025-01-07,107,Caixa de sorvete de Creme 10L,51,110.0,5610.0,21.6
2025-01-07,148,Caixa de Sorvete de Chocolate Belga 10L,13,110.0,1430.0,21.6
2025-01-07,129,Caixa Açaí 5L,46,65.0,2990.0,21.6
2025-01-07,128,Caixa Açaí Tradição 10L,48,120.0,5760.0,21.6
2025-01-08,148,Base Milkshake Baunilha 10L,42,90.0,3780.0,21.4
2025-01-08,146,Caixa de Sorvete de Chocolate Belga 10L,97,110.0,10670.0,21.4
2025-01-08,103,Base Milkshake Chocolate 10L,84,95.0,7980.0,21.4
2025-01-08,107,Caixa de Sorvete de Chocolate Belga 10L,46,110.0,5060.0,21.4
2025-01-09,131,Caixa Açaí Tradição 10L,34,120.0,4080.0,20.5
2025-01-09,120,Caixa de sorvete de Creme 10L,39,110.0,4290.0,20.5
2025-01-09,101,Base Milkshake Baunilha 10L,42,90.0,3780.0,20.5
2025-01-09,139,Caixa de Sorvete de Morango 10L,76,110.0,8360.0,20.5
2025-01-09,150,Caixa de Sorvete de Chocolate Belga 10L,89,110.0,9790.0,20.5
2025-01-09,121,Base Milkshake Chocolate 10L,52,95.0,4940.0,20.5
2025-01-09,101,Base Milkshake Morango 10L,83,90.0,7470.0,20.5
2025-01-09,145,Creme de Cupuaçu 5L,74,70.0,5180.0,20.5
2025-01-09,107,Base Milkshake Chocolate 10L,17,95.0,1615.0,20.5
2025-01-09,139,Base Milkshake Baunilha 10L,17,90.0,1530.0,20.5
2025-01-09,124,Caixa Açaí 5L,71,65.0,4615.0,20.5
2025-01-09,122,Caixa de Sorvete de Chocolate Belga 10L,103,110.0,11330.0,20.5
2025-01-10,135,Base Milkshake Morango 10L,10,90.0,900.0,20.6
2025-01-10,109,Caixa Açaí 5L,112,65.0,7280.0,20.6
2025-01-10,113,Base Milkshake Morango 10L,44,90.0,3960.0,20.6
2025-01-10,108,Caixa de Sorvete de Chocolate Belga 10L,79,110.0,8690.0,20.6
2025-01-10,113,Base Milkshake Chocolate 10L,53,95.0,5035.0,20.6
2025-01-10,114,Caixa de sorvete de Creme 10L,41,110.0,4510.0,20.6
2025-01-10,133,Caixa Açaí 5L,37,65.0,2405.0,20.6
2025-01-10,111,Caixa Açaí Tradição 10L,12,120.0,1440.0,20.6
2025-01-10,149,Caixa Açaí Tradição 10L,10,120.0,1200.0,20.6
2025-01-10,140,Base Milkshake Morango 10L,62,90.0,5580.0,20.6
2025-01-11,129,Base Milkshake Morango 10L,80,90.0,7200.0,21.1
2025-01-11,112,Caixa Açaí 5L,19,65.0,1235.0,21.1
2025-01-11,107,Base Milkshake Baunilha 10L,76,90.0,6840.0,21.1
2025-01-11,114,Base Milkshake Morango 10L,72,90.0,6480.0,21.1
2025-01-11,140,Base Milkshake Baunilha 10L,93,90.0,8370.0,21.1
2025-01-11,129,Base Milkshake Chocolate 10L,66,95.0,6270.0,21.1
2025-01-11,138,Creme de Cupuaçu 5L,58,70.0,4060.0,21.1
2025-01-11,140,Caixa de Sorvete de Morango 10L,72,110.0,7920.0,21.1
2025-01-11,136,Caixa de sorvete de Creme 10L,104,110.0,11440.0,21.1
2025-01-11,130,Base Milkshake Morango 10L,12,90.0,1080.0,21.1
2025-01-11,143,Creme de Cupuaçu 5L,85,70.0,5950.0,21.1
2025-01-11,150,Caixa Açaí Tradição 10L,81,120.0,9720.0,21.1
2025-01-12,133,Base Milkshake Baunilha 10L,90,90.0,8100.0,20.4
2025-01-12,133,Caixa Açaí 5L,13,65.0,845.0,20.4
2025-01-12,137,Creme de Cupuaçu 5L,14,70.0,980.0,20.4
2025-01-12,110,Caixa Açaí 5L,66,65.0,4290.0,20.4
2025-01-12,148,Caixa de Sorvete de Chocolate Belga 10L,28,110.0,3080.0,20.4
2025-01-12,109,Caixa de Sorvete de Chocolate Belga 10L,34,110.0,3740.0,20.4
2025-01-12,144,Caixa Açaí 5L,94,65.0,6110.0,20.4
2025-01-12,106,Base Milkshake Chocolate 10L,56,95.0,5320.0,20.4
2025-01-13,129,Creme de Cupuaçu 5L,15,70.0,1050.0,19.9
2025-01-13,139,Caixa Açaí 5L,37,65.0,2405.0,19.9
2025-01-13,124,Base Milkshake Morango 10L,22,90.0,1980.0,19.9
2025-01-13,143,Base Milkshake Chocolate 10L,37,95.0,3515.0,19.9
2025-01-13,144,Caixa de sorvete de Creme 10L,29,110.0,3190.0,19.9
2025-01-14,146,Caixa de sorvete de Creme 10L,37,110.0,4070.0,19.7
2025-01-14,139,Caixa de sorvete de Creme 10L,40,110.0,4400.0,19.7
2025-01-14,126,Caixa de Sorvete de Chocolate Belga 10L,67,110.0,7370.0,19.7
2025-01-14,107,Base Milkshake Chocolate 10L,15,95.0,1425.0,19.7
2025-01-14,120,Caixa de Sorvete de Morango 10L,66,110.0,7260.0,19.7
2025-01-14,117,Creme de Cupuaçu 5L,97,70.0,6790.0,19.7
2025-01-14,120,Base Milkshake Chocolate 10L,71,95.0,6745.0,19.7
2025-01-14,102,Creme de Cupuaçu 5L,115,70.0,8050.0,19.7
2025-01-14,140,Caixa de Sorvete de Morango 10L,25,110.0,2750.0,19.7
2025-01-14,134,Base Milkshake Chocolate 10L,34,95.0,3230.0,19.7
2025-01-14,114,Caixa Açaí 5L,38,65.0,2470.0,19.7
2025-01-14,129,Caixa de Sorvete de Chocolate Belga 10L,15,110.0,1650.0,19.7
2025-01-14,136,Caixa de Sorvete de Morango 10L,76,110.0,8360.0,19.7
2025-01-15,110,Base Milkshake Baunilha 10L,108,90.0,9720.0,22.1
2025-01-15,138,Base Milkshake Baunilha 10L,20,90.0,1800.0,22.1
2025-01-15,103,Caixa de sorvete de Creme 10L,49,110.0,5390.0,22.1
2025-01-15,136,Base Milkshake Baunilha 10L,67,90.0,6030.0,22.1
2025-01-15,136,Caixa de Sorvete de Morango 10L,52,110.0,5720.0,22.1
2025-01-15,119,Caixa de sorvete de Creme 10L,35,110.0,3850.0,22.1
2025-01-15,144,Caixa de sorvete de Creme 10L,90,110.0,9900.0,22.1
2025-01-16,146,Caixa de Sorvete de Chocolate Belga 10L,35,110.0,3850.0,23.5
2025-01-16,123,Caixa de sorvete de Creme 10L,70,110.0,7700.0,23.5
2025-01-16,140,Caixa de sorvete de Creme 10L,22,110.0,2420.0,23.5
2025-01-16,149,Base Milkshake Baunilha 10L,18,90.0,1620.0,23.5
2025-01-16,112,Base Milkshake Chocolate 10L,48,95.0,4560.0,23.5
2025-01-16,115,Caixa Açaí Tradição 10L,66,120.0,7920.0,23.5
2025-01-16,105,Caixa Açaí 5L,57,65.0,3705.0,23.5
2025-01-16,118,Caixa de Sorvete de Morango 10L,22,110.0,2420.0,23.5
2025-01-17,148,Caixa de Sorvete de Chocolate Belga 10L,33,110.0,3630.0,24.1
2025-01-17,116,Base Milkshake Morango 10L,84,90.0,7560.0,24.1
2025-01-17,150,Caixa de Sorvete de Morango 10L,93,110.0,10230.0,24.1
2025-01-17,138,Caixa de sorvete de Creme 10L,103,110.0,11330.0,24.1
2025-01-17,117,Caixa Açaí Tradição 10L,45,120.0,5400.0,24.1
2025-01-17,142,Base Milkshake Morango 10L,69,90.0,6210.0,24.1
2025-01-17,127,Base Milkshake Morango 10L,52,90.0,4680.0,24.1
2025-01-18,125,Creme de Cupuaçu 5L,44,70.0,3080.0,26.2
2025-01-18,109,Caixa de sorvete de Creme 10L,26,110.0,2860.0,26.2
2025-01-18,133,Base Milkshake Morango 10L,24,90.0,2160.0,26.2
2025-01-18,107,Caixa de Sorvete de Chocolate Belga 10L,59,110.0,6490.0,26.2
2025-01-18,137,Creme de Cupuaçu 5L,18,70.0,1260.0,26.2
2025-01-18,117,Caixa Açaí 5L,35,65.0,2275.0,26.2
2025-01-18,130,Caixa de Sorvete de Morango 10L,77,110.0,8470.0,26.2
2025-01-19,137,Caixa Açaí Tradição 10L,58,120.0,6960.0,26.8
2025-01-19,112,Caixa de Sorvete de Chocolate Belga 10L,115,110.0,12650.0,26.8
2025-01-19,108,Base Milkshake Morango 10L,85,90.0,7650.0,26.8
2025-01-19,101,Creme de Cupuaçu 5L,23,70.0,1610.0,26.8
2025-01-19,131,Caixa de sorvete de Creme 10L,12,110.0,1320.0,26.8
2025-01-19,119,Caixa de Sorvete de Chocolate Belga 10L,22,110.0,2420.0,26.8
